contentdm,aardvark,default,type
Title,dct_title_s,,
,gbl_resourceClass_sm,Maps,array
,gbl_resourceType_sm,Zoning maps,array
Alternate Title,dct_alternative_sm,,
Creator,dct_creator_sm,Unidentified author,array
Contributor,,,
Artist,,,
Author,,,
Composer,,,
Editor,,,
Lyricist,,,
Producer,,,
Publisher,,,
Coverage,,,
Spatial Coverage,dct_spatial_sm,,array
Temporal Coverage,dct_temporal_sm,,array
Latitude,,,
Longitude,,,
Bounding Box,,,
External Reference,,,
Advisor,,,
Committee Member,,,
Degree Name,,,
Degree Level,,,
Department,,,
University,,,
Date,,,
Date Created,,,
Date Issued,,,
Date Recorded,,,
Date Submitted,,,
Date Search,,,
Description,dct_description_sm,,
Abstract,,,
Award,,,
Frequency,,,
Sponsorship,,,
Table of Contents,,,
Subject,,,
LCSH Subject,,,
Language,,,
Language-ISO,dct_language_sm,,array
Format,,,
Medium,,,
Extent,,,
Type,,,
Source,,,
Digital Collection,,,
Physical Collection,,,
Series/Location,,,
Subcollection,,,
Repository,,,
Rights,,,
Rights Note,,,
Rights License,,,
Rights URI,,,
Rights DPLA,dct_accessRights_s,,
Identifier,,,
Citation,,,
DOI,,,
ISBN,,,
URI,,,
Related Resource,,,
Relation-Has Format Of,,,
Relation-Has Part,,,
Relation-Has Version,,,
Relation-Is Format Of,,,
Relation-Is Referenced By,,,
Relation-Is Replaced By,,,
Relation-Is Version Of,,,
Relation-References,,,
Relation-Replaces,,,
Transcript,,,
Path,,,
File Name,,,
OCLC number,,,
Date created,,,
Date modified,gbl_mdModified_dt,,
Reference URL,,,
CONTENTdm number,dct_identifier_sm,,
,id,edu_colostate_{CONTENTdm number},
,gbl_mdVersion_s,Aardvark,
,dct_format_s,JPEG,
,dct_references_s,"""https://iiif.io/api/extension/georef/1/context.json"":""https://raw.githubusercontent.com/GeospatialCentroid/csu_groundwater_data_explorer/refs/heads/main/{local_annotation}""",dict
,dct_publisher_sm,Colorado State University Archives and Special Collections,
,,,
CONTENTdm file name,,,
CONTENTdm file path,,,
Collection,,,
Image URL,,,
ID,,,
IIIF,,,
Georeference,,,
TMS,,,
By,,,
Map Name,,,
Year,,,
Annotation,,,
local_annotation,,,
type,,,
geojson,,,